Group,n_shipped,n_parent,bgg_matches,n_eligible_sat,max_dmag_shipped,n_dmag_gt3,expected_objids,shipped_objids,quartet_set_changed,not_3_nearest_eligible,n_ineligible_closer,dist2bgg_recompute_max_err
1486,4,12,True,7,3.7586000000000013,1,1237674602676289706;1237674602676289826;1237664814452244710,1237674602676289706;1237674602676289826;1237674602676289817,True,True,2,0.22594633502699146
1488,4,12,True,4,3.7775299999999987,1,1237648721757929562;1237651801774358588;1237648721757929485,1237648721757929562;1237651801774358588;1237654670812774549,True,True,4,0.39910802646909715
1490,4,12,True,5,3.9287799999999997,3,1237657606426722476;1237657606426787999;1237657606426591432,1237657606426722320;1237657606426722502;1237657606426722566,True,True,4,0.2132613113751951
1492,4,12,True,9,2.368122999999997,0,1237665372258828633;1237665372258828656;1237665372258828586,1237665372258828633;1237665372258828656;1237665372258828586,False,False,0,0.0999941502614794
1494,4,12,True,9,2.4234839999999984,0,1237655123940606220;1237655123940606209;1237654879118229530,1237654879118229530;1237655123940606220;1237655123940606209,False,False,0,0.2309282628695879
1496,4,12,True,4,3.7092199999999984,3,1237663787417469125;1237663916801851543;1237663787417600310,1237663916801786116;1237663916801785876;1237663916801786003,True,True,6,0.2839146108990871
1497,4,12,True,9,3.0209360000000025,1,1237660671429967979;1237661950780047494;1237660671429968008,1237660671429967979;1237661950780047494;1237660671429902494,True,True,1,0.18518316213434893
1498,4,12,True,7,4.419312999999999,1,1237665129087565862;1237665129087565950;1237665129087631503,1237665129087565862;1237665129087565950;1237665025985544468,True,True,1,0.448961705949408
1499,4,12,True,8,2.712389999999999,0,1237667782270583073;1237667782270648848;1237667782270583070,1237667782270583070;1237667782270583073;1237667782270648848,False,False,0,0.48667318283482075
1599,4,11,True,6,3.2288749999999986,1,1237654391639441458;1237653589017362552;1237654391639507212,1237653589017362552;1237654391639441458;1237653589017428333,True,True,1,0.48862056282131405
