Group,n_shipped,n_parent,bgg_matches,n_eligible_sat,max_dmag_shipped,n_dmag_gt3,expected_objids,shipped_objids,quartet_set_changed,not_3_nearest_eligible,n_ineligible_closer,dist2bgg_recompute_max_err
1490,4,12,True,5,2.2353629999999995,0,1237657606426722476;1237657606426787999;1237657606426591432,1237657606426722476;1237657606426787999;1237657606426591432,False,False,4,0.5312944315176615
1492,4,12,True,9,2.368122999999997,0,1237665372258828633;1237665372258828656;1237665372258828586,1237665372258828633;1237665372258828656;1237665372258828586,False,False,0,0.0999941502614794
1494,4,12,True,9,2.4234839999999984,0,1237655123940606220;1237655123940606209;1237654879118229530,1237654879118229530;1237655123940606220;1237655123940606209,False,False,0,0.2309282628695879
1496,4,12,True,4,2.019801000000001,0,1237663787417469125;1237663916801851543;1237663787417600310,1237663916801851543;1237663787417469125;1237663787417600310,False,False,6,0.6541882391010159
1497,4,12,True,9,1.878859000000002,0,1237660671429967979;1237661950780047494;1237660671429968008,1237660671429967979;1237660671429968008;1237661950780047494,False,False,1,0.1946652253553518
1498,4,12,True,7,2.622847,0,1237665129087565862;1237665129087565950;1237665129087631503,1237665129087565862;1237665129087631503;1237665129087565950,False,False,1,0.45136443538560655
1499,4,12,True,8,2.712389999999999,0,1237667782270583073;1237667782270648848;1237667782270583070,1237667782270583070;1237667782270583073;1237667782270648848,False,False,0,0.48667318283482075
1599,4,11,True,6,1.7725259999999992,0,1237654391639441458;1237653589017362552;1237654391639507212,1237653589017362552;1237654391639507212;1237654391639441458,False,False,1,0.5440557175863638
1600,4,11,True,6,2.740757000000002,0,1237661381704024169;1237661381704089681;1237661381703958722,1237661381704024169;1237661381704089681;1237661381703958722,False,False,1,0.6942473376516372
1616,4,11,True,6,2.404088999999999,0,1237654383585394820;1237654383585329365;1237654391644618891,1237654383585329365;1237654383585394820;1237654391644618891,False,False,3,0.3935307878350933
1619,4,11,True,4,2.931083000000001,0,1237659326026547606;1237659330312536341;1237659330849276115,1237659330849276115;1237659326026547606;1237659330312536341,False,False,4,0.9166505943544472
1659,4,11,True,3,2.2848760000000006,0,1237668624622157845;1237668624622092360;1237668624621961294,1237668624622092360;1237668624622157845;1237668624621961294,False,False,6,1.7379040578250837
1664,4,11,True,7,2.532990999999999,0,1237655370904764505;1237655465385459816;1237655465385394461,1237655465385394461;1237655370904764505;1237655465385459816,False,False,0,0.13508790089138145
1670,4,11,True,3,2.736683999999997,0,1237662698640441555;1237662698640506996;1237664854183313713,1237662698640441555;1237662698640506996;1237664854183313713,False,False,6,1.090462586737388
1678,4,11,True,4,2.387840999999998,0,1237668336324706372;1237665566082400802;1237668336861511907,1237665566082400802;1237668336861511907;1237668336324706372,False,False,1,0.6343030656895259
1698,4,11,True,4,2.283068,0,1237663786885906495;1237663916270158057;1237663786885906868,1237663786885906495;1237663786885906868;1237663916270158057,False,False,5,0.3101374682861051
1701,4,11,True,7,2.4861690000000003,0,1237661949719478403;1237661949719478306;1237661949719478394,1237661949719478306;1237661949719478394;1237661949719478403,False,False,2,0.1538187837506464
1714,4,11,True,4,1.9953009999999978,0,1237661070324858895;1237661070324858902;1237661070324858899,1237661070324858895;1237661070324858902;1237661070324858899,False,False,1,0.10751837531252928
1716,4,11,True,7,2.870214999999998,0,1237667430641697017;1237667430641696794;1237667430641697079,1237667430641696794;1237667430641697079;1237667430641697017,False,False,0,0.17574593460457377
1718,4,11,True,3,2.6956719999999983,0,1237661950254448669;1237661813348434037;1237661812811563096,1237661813348434037;1237661812811563096;1237661950254448669,False,False,7,0.6815029121038112
