petroMag_r,fiberMag_r,modelMag_r,cModelMag_r,extinction_r,objid
15.72222,18.10605,15.78014,15.64531,0.03577107,1237651538179784880
15.62779,17.39469,15.55603,15.55599,0.02284033,1237651538169823387
13.92117,16.18079,13.78992,13.78991,0.02375303,1237651538169823297
15.25089,17.69289,15.29429,15.18017,0.02254632,1237651538169757876
15.11684,17.81719,15.22653,15.06343,0.03682848,1237651537642914009
14.43296,17.00556,14.46427,14.34775,0.09605421,1237651535483437209
17.14078,18.16017,17.15787,17.11274,0.10003,1237651534946304186
14.84268,16.61815,14.78221,14.78226,0.07493194,1237651533872496853
17.34962,19.18309,17.32266,17.3005,0.07409896,1237651533872496832
15.27626,16.74878,15.18454,15.18454,0.09877553,1237651497367240958
14.92298,16.92025,15.01885,15.01885,0.09905049,1237651496830631972
16.47998,17.66357,16.34728,16.39537,0.1193057,1237651496830501304
14.70269,17.09423,14.54522,14.54537,0.1173095,1237651496830501270
16.1577,17.41256,16.04366,16.04369,0.1053786,1237651496830501214
13.47923,15.85794,13.37694,13.37695,0.1223345,1237651496830501001
14.55667,16.41178,14.49566,14.49568,0.1083363,1237651496830239120
14.19725,16.15704,14.07776,14.08386,0.1069972,1237651496830238876
17.04929,18.07177,17.07495,17.02358,0.1079775,1237651496830173526
15.33368,17.02749,15.1913,15.28877,0.1090382,1237651495755579693
14.07087,16.11104,13.92923,13.92923,0.1101632,1237655124465483920
16.13569,18.71101,16.05829,16.0583,0.1109534,1237655124465418345
15.19422,17.40625,15.23492,15.10716,0.1177221,1237655124465418306
15.53048,16.9304,15.44923,15.44923,0.06856409,1237655123940606220
16.98307,18.53507,16.73214,16.8582,0.06272319,1237655123940606209
14.60086,16.99625,14.3757,14.49792,0.06675795,1237655123940606085
15.03511,16.47149,14.95986,14.96662,0.05784288,1237655123940606025
15.01924,16.86433,14.87684,14.93758,0.05732794,1237654954275438624
16.47555,17.29645,16.37669,16.3767,0.06159735,1237654953207333212
14.2399,16.70575,14.16591,14.16894,0.05918019,1237654953207332988
16.38204,18.47655,16.36669,16.36669,0.05218385,1237654953207267630
13.13755,15.93065,13.07829,13.07829,0.08415419,1237654879656542226
16.72944,19.00015,16.7743,16.55352,0.09196405,1237655123929333841
14.45754,16.17114,14.32439,14.32438,0.1029567,1237655123929333774
16.33729,18.2683,16.30858,16.30858,0.1373329,1237655123929268365
14.88968,17.61565,14.94843,14.8337,0.02844826,1237655109442469957
14.09656,16.49341,14.15305,14.15302,0.0403794,1237655109439127727
17.24243,19.06431,17.31048,17.19449,0.01977994,1237655106759426069
16.4606,17.34469,16.38631,16.40312,0.0533862,1237654954280157539
16.20977,17.56212,16.10541,16.10542,0.05251905,1237654954275373373
14.17337,17.08136,13.97408,14.04164,0.05148802,1237654954275373295
15.50764,18.21193,15.48584,15.48586,0.03315777,1237654952666595635
14.69242,17.12334,14.69615,14.66247,0.04672377,1237654952130511036
14.4792,16.11405,14.37331,14.37331,0.02409441,1237654948913283207
16.43541,18.5099,16.41579,16.33972,0.07739274,1237654881277509759
14.55116,17.28135,14.61805,14.55005,0.1192953,1237654880744636664
15.93087,18.29717,15.98847,15.94715,0.1247126,1237654880741294303
15.71882,17.43831,15.65127,15.65861,0.1236589,1237654880741294238
16.7196,18.33189,16.72685,16.70827,0.1223992,1237654880741294218
14.44628,16.39783,14.36124,14.36123,0.1284009,1237654880741228570
13.33064,15.56247,13.22798,13.22797,0.09938388,1237654880740769908
16.08809,17.64558,15.87425,15.94952,0.09927412,1237654880740638942
14.11189,16.61492,13.97807,14.01496,0.07370112,1237654880737689634
15.47894,16.75658,15.39858,15.39858,0.3286673,1237654880211173600
13.38077,15.8838,13.26807,13.26807,0.2955019,1237654880211107970
17.26059,19.63839,17.18476,17.18475,0.1132852,1237654879669453281
16.33829,17.57471,16.18114,16.2493,0.1106044,1237654879669453071
14.6109,15.9924,14.50293,14.50293,0.1050775,1237654879669452918
16.66419,18.18213,16.6803,16.59578,0.1149318,1237654879669452848
14.48807,16.57705,14.3986,14.3986,0.1152767,1237654879669452830
15.23616,16.72607,15.1155,15.13714,0.1118679,1237654879669387604
14.65243,17.15712,14.41132,14.54003,0.1061945,1237654879668535310
15.55768,17.66969,15.39575,15.41355,0.09718075,1237654879668404429
16.26201,17.36819,16.15189,16.17163,0.1013861,1237654879668404386
15.79986,17.07863,15.6902,15.6902,0.09869675,1237654879668404260
16.07401,16.88782,16.01653,16.01653,0.1000216,1237654879668338981
