check,comparison,colour,n,coefficient,ci_low,ci_high,p_value
leave one CG4 group out,CG4_316,r_minus_i,2373,0.007933893816978642,-0.0070022622463864845,0.022870049880343767,0.2978255957376146
leave one CG4 group out,CG4_322,r_minus_i,2373,0.006241686417914952,-0.008405908786252395,0.020889281622082298,0.4036124477932357
leave one CG4 group out,CG4_323,r_minus_i,2374,0.007141753740597168,-0.007613805690399975,0.02189731317159431,0.3428083524426834
leave one CG4 group out,CG4_330,r_minus_i,2373,0.007126420827255293,-0.0077684966163033276,0.022021338270813914,0.34837913696238687
leave one CG4 group out,CG4_333,r_minus_i,2374,0.007969826816619294,-0.0068127723349421625,0.02275242596818075,0.2906546707627947
leave one CG4 group out,CG4_337,r_minus_i,2373,0.008783558828314261,-0.00599204807740626,0.023559165734034784,0.2439675778899254
leave one CG4 group out,CG4_341,r_minus_i,2374,0.00765390758724778,-0.007136686768675673,0.022444501943171234,0.3104627375709663
leave one CG4 group out,CG4_354,r_minus_i,2373,0.007211609643472026,-0.00770906492823238,0.022132284215176434,0.34348114586735135
leave one CG4 group out,CG4_360,r_minus_i,2373,0.006639414333652522,-0.00816984693628042,0.021448675603585463,0.37955974366560463
leave one CG4 group out,CG4_368,r_minus_i,2373,0.007255119544549105,-0.007668607419472118,0.022178846508570327,0.34067627103929876
leave one CG4 group out,CG4_369,r_minus_i,2373,0.007429234047376157,-0.007465539765886722,0.022324007860639036,0.3282755097089709
leave one CG4 group out,CG4_373,r_minus_i,2373,0.008789075013731955,-0.006003431675806439,0.02358158170327035,0.24421058886968727
leave one CG4 group out,CG4_374,r_minus_i,2373,0.007382535780032777,-0.00747548890729861,0.022240560467364164,0.33013045792787765
leave one CG4 group out,CG4_386,r_minus_i,2372,0.00919754364514109,-0.005579811087839191,0.023974898378121372,0.22250383128660134
leave one CG4 group out,CG4_394,r_minus_i,2372,0.008093234203579842,-0.006893276913300821,0.023079745320460504,0.28985109875140436
leave one CG4 group out,CG4_405,r_minus_i,2373,0.010049488114817668,-0.004211071832639239,0.024310048062274575,0.16721856615028186
