split_variable,split_value,colour,comparison,n_CG4,n_ordinary,median_CG4,median_ordinary,median_diff,ci68_low,ci68_high,ci95_low,ci95_high,mannwhitney_p,permutation_p,cliffs_delta,permutation_p_holm,permutation_p_holm_significant
morphology_harmonized,Uncertain,u_minus_r,Ordinary pooled,5,143,0.07600228846986123,-0.06795380720379018,0.14395609567365142,-0.267562871042786,0.2823492511683674,-0.44085593336791695,0.7826495437630148,0.9576766085610843,0.7672327672327672,0.01538461538461533,1.0,False
morphology_harmonized,Uncertain,u_minus_r,Control4B,5,56,0.07600228846986123,-0.14207307528295332,0.21807536375281455,-0.21940721670792127,0.33255935109748913,-0.43632846378388657,0.856906050828614,0.8231635387618992,0.4965034965034965,0.06428571428571428,1.0,False
morphology_harmonized,Uncertain,u_minus_r,Control4C,5,77,0.07600228846986123,0.06856399615456832,0.007438292315292916,-0.390748766256918,0.16687960391352608,-0.5641618436025151,0.6492095841372398,0.7861605687782399,1.0,-0.07532467532467535,1.0,False
morphology_harmonized,Uncertain,u_minus_r,RG4,5,10,0.07600228846986123,-0.3495461374061616,0.4255484258760228,0.028735476786568404,0.6163303790053729,-0.1646182970880561,1.0646061395581865,0.19844930359201252,0.13286713286713286,0.43999999999999995,0.3986013986013986,False
morphology_harmonized,Uncertain,u_minus_g,Ordinary pooled,5,143,0.002321360929850691,-0.06985596732489152,0.07217732825474221,-0.14309444030870733,0.24711023913203456,-0.26223594273925754,0.8712591773400346,0.6329173882440295,0.7832167832167832,0.1272727272727272,1.0,False
morphology_harmonized,Uncertain,u_minus_g,Control4B,5,56,0.002321360929850691,-0.0804877151980603,0.082809076127911,-0.13483042824092661,0.2897889544640273,-0.2780045275990355,0.8924752477202751,0.5718916484825418,0.8011988011988012,0.15714285714285725,1.0,False
morphology_harmonized,Uncertain,u_minus_g,Control4C,5,77,0.002321360929850691,-0.005601261287987658,0.007922622217838349,-0.21621578087829918,0.21304925223186455,-0.35441573165728313,0.8369516158683528,0.8463438640966515,1.0,0.05454545454545445,1.0,False
morphology_harmonized,Uncertain,u_minus_g,RG4,5,10,0.002321360929850691,-0.32214877785106744,0.3244701387809181,0.07933741467089128,0.509869209738604,-0.0441064057952133,1.1274017834223935,0.12578642463894,0.0959040959040959,0.52,0.3836163836163836,False
morphology_harmonized,Uncertain,g_minus_r,Ordinary pooled,5,143,-0.08646089888440489,0.009217253910833056,-0.09567815279523795,-0.10790456720439334,-0.0011105559823475497,-0.17025508209994153,0.06446367362917915,0.24730789726159574,0.21678321678321677,-0.30629370629370634,0.8671328671328671,False
morphology_harmonized,Uncertain,g_minus_r,Control4B,5,56,-0.08646089888440489,-0.00035527997513018494,-0.0861056189092747,-0.10359767418811806,0.010154087308627213,-0.1680189101380707,0.08499248534932291,0.40756686465177316,0.2057942057942058,-0.22857142857142854,0.8231768231768232,False
morphology_harmonized,Uncertain,g_minus_r,Control4C,5,77,-0.08646089888440489,0.01771753381362895,-0.10417843269803384,-0.1533266303055083,-0.011883123013937125,-0.1916098007639018,0.057079403825116226,0.1306543185886342,0.22077922077922077,-0.4077922077922078,0.8831168831168831,False
morphology_harmonized,Uncertain,g_minus_r,RG4,5,10,-0.08646089888440489,-0.06996263841846925,-0.016498260465935638,-0.06316800296093983,0.1030602658819749,-0.16348788133261538,0.17203011132171747,0.9511702692969356,0.7932067932067932,0.040000000000000036,1.0,False
morphology_harmonized,Uncertain,r_minus_i,Ordinary pooled,5,143,0.007720518622787331,0.022721574194464217,-0.015001055571676886,-0.056446394688831336,-0.002882000653415623,-0.16346380485352457,0.0037228365918531847,0.14299853486029349,0.5764235764235764,-0.38741258741258744,1.0,False
morphology_harmonized,Uncertain,r_minus_i,Control4B,5,56,0.007720518622787331,0.007058546549274458,0.0006619720735128731,-0.05135988464096408,0.012607002583848337,-0.15314371602635668,0.028766559041530748,0.29903026152914214,1.0,-0.2857142857142857,1.0,False
morphology_harmonized,Uncertain,r_minus_i,Control4C,5,77,0.007720518622787331,0.026941469167832632,-0.0192209505450453,-0.062193520568286975,-0.009190153573903403,-0.16836241486899856,-0.0040739552058021225,0.08114701770437929,0.4405594405594406,-0.4701298701298702,1.0,False
morphology_harmonized,Uncertain,r_minus_i,RG4,5,10,0.007720518622787331,0.010452786797708655,-0.0027322681749213235,-0.053699894220386374,0.017654253681746,-0.15270748094551123,0.042397761965733805,0.35832646674888025,0.8991008991008991,-0.31999999999999995,1.0,False
