sample,outcome,group_quantity,n_groups,spearman_rho,ci95_low,ci95_high,p_value,p_holm,p_holm_significant
Control4C,satellite_blue_fraction,Voffset,637,0.041641257756284855,-0.0361901130174731,0.12213241637914486,0.29400841350797685,0.8820252405239306,False
Control4C,colour_scatter,t_cr,454,-0.1007783709128634,-0.19123156897144525,-0.010019268070733486,0.03180434092269311,0.22263038645885178,False
Control4C,colour_scatter,Vdisp,454,0.056034819106266426,-0.03108357139048886,0.1443246627982017,0.23342037408355973,1.0,False
Control4C,colour_scatter,Lum_group,454,-0.015248170448450515,-0.11423873258083825,0.07672024389380727,0.7459227897796116,1.0,False
Control4C,colour_scatter,M_virial,454,-0.041747085076431274,-0.13243483588395644,0.04795222841592178,0.3748359370196608,1.0,False
Control4C,colour_scatter,M_virial_over_L,454,-0.03940892669194445,-0.12755420315548904,0.05365515933214872,0.40219502638726345,1.0,False
Control4C,colour_scatter,Offset_Bary,454,-0.062254092145856296,-0.14719203877772402,0.03658307360406347,0.1854721916658988,1.0,False
Control4C,colour_scatter,Voffset,454,0.022947178561730588,-0.07085522873853875,0.11012957790930698,0.6257919884757474,1.0,False
RG4,mean_delta_u_minus_r,t_cr,50,-0.1537094837935174,-0.4148578327791534,0.1314008497764353,0.2865371670539979,1.0,False
RG4,mean_delta_u_minus_r,Vdisp,50,0.054981992797118844,-0.23520837369504227,0.3357861661876242,0.7045132935167626,1.0,False
RG4,mean_delta_u_minus_r,Lum_group,50,-0.23735894357743095,-0.4934889372253436,0.061585666835764594,0.09696598555146453,0.5817959133087872,False
RG4,mean_delta_u_minus_r,M_virial,50,0.0346218487394958,-0.2501668997062024,0.3327931057816342,0.8113437127687083,1.0,False
RG4,mean_delta_u_minus_r,M_virial_over_L,50,0.07178871548619448,-0.21399139113641352,0.36360304505405006,0.6203010909885868,1.0,False
RG4,mean_delta_u_minus_r,Offset_Bary,50,-0.27625450180072025,-0.5424826726419766,0.023475862948488406,0.052139115609188755,0.36497380926432127,False
RG4,mean_delta_u_minus_r,Voffset,50,0.07054021608643457,-0.22457564669907676,0.39165922390148566,0.6264100995628386,1.0,False
RG4,median_delta_u_minus_r,t_cr,50,-0.10540216086434574,-0.3701068742707486,0.18916456093902548,0.46631501061071345,1.0,False
RG4,median_delta_u_minus_r,Vdisp,50,0.009939975990396158,-0.2808493547632007,0.30515560182992824,0.9453795410999992,1.0,False
RG4,median_delta_u_minus_r,Lum_group,50,-0.166578631452581,-0.4377082451414278,0.1449637114079342,0.24760078806006902,1.0,False
RG4,median_delta_u_minus_r,M_virial,50,-0.009555822328931571,-0.29595979029387715,0.2851506530578816,0.9474874631857074,1.0,False
RG4,median_delta_u_minus_r,M_virial_over_L,50,0.00907563025210084,-0.2888767419230702,0.2998962832187408,0.9501228647604613,1.0,False
RG4,median_delta_u_minus_r,Offset_Bary,50,-0.2804801920768307,-0.5426354619587097,0.01386890289946299,0.04850337884939088,0.33952365194573614,False
RG4,median_delta_u_minus_r,Voffset,50,0.09887154861944776,-0.20000001353008978,0.41591828794732716,0.4945302655718311,1.0,False
RG4,satellite_blue_fraction,t_cr,50,0.11150320728036141,-0.16588971157863058,0.3909811142074707,0.4407583514234782,1.0,False
RG4,satellite_blue_fraction,Vdisp,50,0.03603616535056176,-0.2374914388602817,0.31053135517727803,0.8037863756036459,1.0,False
RG4,satellite_blue_fraction,Lum_group,50,0.25251428908690743,-0.009759964364629671,0.48780224824849444,0.07686408375363739,0.5380485862754617,False
RG4,satellite_blue_fraction,M_virial,50,0.01780917736890081,-0.27645762006036456,0.29911339134974646,0.9023015568311334,1.0,False
