sample,objid,specobjid,sfr,lgm,sSFR_status,specObjID,bestObjID,instrument,survey,programname,plate,mjd,fiberID,class,zWarning,snMedian_r,snMedian,run2d,sciencePrimary,extra_specObjID,sfr_tot_p50,lgm_tot_p50,specsfr_tot_p50,info_specObjID,info_sn_median,reliable,missing_type
CG4,1237654604791545888,654231448286423040,0.07980536,10.36794,Starforming,6.54231448286423e+17,1.2376546047915459e+18,SDSS,sdss,legacy,581.0,52356.0,304.0,GALAXY,0.0,54.67155,44.83389,26,1.0,6.54231448286423e+17,0.07980536,10.36794,-10.33623,6.54231448286423e+17,45.18583,1.0,valid
CG4,1237654604791546018,653028307889055744,-1.29921,9.893738,Quenched,6.530283078890557e+17,1.237654604791546e+18,SDSS,sdss,legacy,580.0,52368.0,23.0,GALAXY,0.0,26.94529,20.2058,26,1.0,6.530283078890557e+17,-1.29921,9.893738,-11.26419,6.530283078890557e+17,20.27346,1.0,valid
CG4,1237664819818987529,2285638167367280640,-0.09757546,10.76637,Starforming,2.2856381673672806e+18,1.2376648198189875e+18,SDSS,sdss,legacy,2030.0,53499.0,223.0,GALAXY,0.0,41.96279,34.92602,26,1.0,2.2856381673672806e+18,-0.09757546,10.76637,-10.92775,2.2856381673672806e+18,34.95266,1.0,valid
CG4,1237664819818987565,2285640641268443136,-1.75035,10.73842,Quenched,2.2856406412684431e+18,1.2376648198189875e+18,SDSS,sdss,legacy,2030.0,53499.0,232.0,GALAXY,0.0,47.50373,42.00492,26,1.0,2.2856406412684431e+18,-1.75035,10.73842,-12.50345,2.2856406412684431e+18,42.03849,1.0,valid
CG4,1237664819818987566,5208416362330517504,,,NosSFR,5.208416362330518e+18,1.2376648198189875e+18,BOSS,boss,boss,4626.0,55647.0,12.0,GALAXY,0.0,57.05138,52.31059,v5_7_0,1.0,,,,,,,,no-galSpecExtra
CG4,1237664819818987690,2285641191024257024,-0.2873294,10.39088,Starforming,2.285641191024257e+18,1.2376648198189878e+18,SDSS,sdss,legacy,2030.0,53499.0,234.0,GALAXY,0.0,35.0511,28.71741,26,1.0,2.285641191024257e+18,-0.2873294,10.39088,-10.73602,2.285641191024257e+18,28.72513,1.0,valid
CG4,1237667431715766291,2492841963204667392,-1.116188,11.29346,Quenched,2.4928419632046674e+18,1.2376674317157663e+18,SDSS,sdss,legacy,2214.0,53794.0,362.0,GALAXY,0.0,50.1073,44.87082,26,1.0,2.4928419632046674e+18,-1.116188,11.29346,-12.46827,2.4928419632046674e+18,44.89049,1.0,valid
CG4,1237667431715766292,2491640471839860736,-1.579226,10.68693,Quenched,2.4916404718398607e+18,1.2376674317157663e+18,SDSS,sdss,legacy,2213.0,53792.0,87.0,GALAXY,0.0,46.95311,40.36812,26,1.0,2.4916404718398607e+18,-1.579226,10.68693,-12.32211,2.4916404718398607e+18,40.32816,1.0,valid
CG4,1237667431715766293,2491641021595674624,-1.679997,10.67525,Quenched,2.4916410215956746e+18,1.2376674317157663e+18,SDSS,sdss,legacy,2213.0,53792.0,89.0,GALAXY,0.0,44.18465,36.63915,26,1.0,2.4916410215956746e+18,-1.679997,10.67525,-12.40238,2.4916410215956746e+18,36.64166,1.0,valid
CG4,1237667431715766294,2492842512960481280,-1.967847,10.15139,Quenched,2.4928425129604813e+18,1.2376674317157663e+18,SDSS,sdss,legacy,2214.0,53794.0,364.0,GALAXY,0.0,35.16795,27.89886,26,1.0,2.4928425129604813e+18,-1.967847,10.15139,-12.14719,2.4928425129604813e+18,27.95405,1.0,valid
CG4,1237662223525871655,2293611275046905856,-1.575914,11.0522,Quenched,2.2936112750469059e+18,1.2376622235258716e+18,SDSS,sdss,legacy,2037.0,53446.0,557.0,GALAXY,0.0,49.14526,43.32896,26,1.0,2.2936112750469059e+18,-1.575914,11.0522,-12.65852,2.2936112750469059e+18,43.31388,1.0,valid
