plate,mjd,fiberid,z_log_abs_p2p5,z_log_abs_p16,z_log_abs_median,z_log_abs_p84,z_log_abs_p97p5,z_log_abs_mode,dr4_index,age_logyr_rband_p2p5,age_logyr_rband_p16,age_logyr_rband_median,age_logyr_rband_p84,age_logyr_rband_p97p5,age_logyr_rband_mode
309,51994,304,-1.4581,-1.4324,-1.3564,-1.3236,-1.3147,-1.3509,21256,9.678,9.7224,9.7929,9.8666,9.9573,9.7863
309,51994,307,-2.2253,-2.0367,-1.8521,-1.6495,-1.41,-1.7766,21257,9.3547,9.5306,9.7061,9.845,9.9369,9.8027
309,51994,341,-1.6333,-1.5668,-1.5259,-1.4837,-1.4126,-1.5324,21277,9.6564,9.7679,9.8351,9.9112,9.9823,9.8828
309,51994,348,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,21281,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
309,51994,354,-1.5454,-1.5041,-1.4665,-1.4389,-1.4102,-1.5011,21285,9.7465,9.8185,9.8946,9.9701,10.0082,9.8984
309,51994,440,-1.5883,-1.5309,-1.5171,-1.4735,-1.412,-1.5199,21338,9.7723,9.8418,9.9221,9.9629,9.9915,9.9464
310,51990,224,-3.158,-2.8567,-2.4627,-1.973,-1.4802,-2.4965,21630,9.0749,9.2545,9.4465,9.642,9.8108,9.4184
310,51990,227,-1.5319,-1.443,-1.3844,-1.3425,-1.3176,-1.3822,21632,9.7487,9.7975,9.8829,9.9777,10.0072,9.8347
310,51990,228,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,21633,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
310,51990,263,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,21651,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
310,51990,439,-2.9458,-2.7296,-2.4348,-2.0222,-1.5378,-2.5716,21762,9.4239,9.6025,9.7746,9.9196,10.0304,9.8342
315,51663,351,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,23711,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
315,51663,352,-1.557,-1.4944,-1.4505,-1.4115,-1.3466,-1.4448,23712,9.6799,9.8243,9.9192,9.9601,10.0248,9.9302
326,52375,542,-1.6452,-1.6043,-1.557,-1.5113,-1.489,-1.5262,24260,9.7754,9.8675,9.9101,9.9996,10.0376,9.898
326,52375,545,-2.2894,-1.9271,-1.6053,-1.3895,-1.3165,-1.3634,24263,8.9667,9.0879,9.1978,9.3521,9.4529,9.1948
326,52375,547,-1.4769,-1.4082,-1.3495,-1.3169,-1.3044,-1.3446,24265,9.6237,9.7613,9.8337,9.9522,9.9745,9.7869
326,52375,554,-3.0086,-2.6867,-2.3626,-1.9072,-1.519,-2.4839,24267,9.2342,9.3983,9.5717,9.7278,9.8601,9.5301
