source_specobjid,source_objid,plate,mjd,fiberid,run2d,scienceprimary,extra_specobjid,source_sfr,source_specsfr,source_lgm,info_specobjid,sn_median,reliable,n_spectra_for_objid
505605780985112576,1237651251486785701,449,51900,279,26,1,505605780985112576,-1.742188,-12.45234,10.66437,505605780985112576,37.4487,1,1
505612927810693120,1237651251486589158,449,51900,305,26,1,505612927810693120,-1.982194,-12.19516,10.1808,505612927810693120,31.10221,1,1
505623373171156992,1237651252023722212,449,51900,343,26,1,505623373171156992,-0.3513926,-10.0905,9.697733,505623373171156992,13.42292,1,1
505654709252548608,1237651252024312012,449,51900,457,26,1,505654709252548608,-0.09648798,-10.07426,9.919941,505654709252548608,13.44404,1,1
525968461470394368,1237651753452765443,467,51901,630,26,1,525968461470394368,-1.086425,-11.26759,10.11648,525968461470394368,27.67803,1,1
525971210249463808,1237651753452765233,467,51901,640,26,1,525971210249463808,-1.555934,-12.36812,10.73482,525971210249463808,32.45052,1,1
526952799439710208,1237650797288358041,468,51912,115,26,1,526952799439710208,-1.179892,-12.13972,10.88108,526952799439710208,43.85689,1,1
526970391625754624,1237650797288226901,468,51912,179,26,1,526970391625754624,-1.132013,-12.14159,10.96947,526970391625754624,47.72595,1,1
526973690160637952,1237648722284052865,468,51912,191,26,1,526973690160637952,0.2786993,-10.58806,10.81833,526973690160637952,29.51756,1,1
526973965038544896,1237648722284052878,468,51912,192,26,1,526973965038544896,-1.203961,-12.00519,10.75498,526973965038544896,36.05592,1,1
526975064550172672,1237648722284118374,468,51912,196,26,1,526975064550172672,-0.5691356,-9.837152,9.202526,526975064550172672,7.2531,1,1
526976164061800448,1237648722284052811,468,51912,200,26,1,526976164061800448,-0.3766055,-9.718031,9.282079,526976164061800448,12.98706,1,1
527027291352492032,1237653664714391702,468,51912,386,26,1,527027291352492032,-0.1564121,-11.1321,10.91266,527027291352492032,41.04177,1,1
527027841108305920,1237653664714391735,468,51912,388,26,1,527027841108305920,-1.525149,-12.22753,10.67758,527027841108305920,43.86971,1,1
528110035444721664,1237648722284249438,469,51913,229,26,1,528110035444721664,0.04441575,-9.504595,9.480463,528110035444721664,13.7728,1,1
528110310322628608,1237648722284314869,469,51913,230,26,1,528110310322628608,0.6314804,-10.37413,10.95607,528110310322628608,33.77363,1,1
