product,control,degree,control_cv_rmse_linear,control_cv_rmse_quadratic,objid,sample,group_uid,role,lgm,z,ff_miles_lw_logz,predicted_control_logz,delta_logz,gallazzi_logz_solar
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237648722841043066,CG4,HMCG:175,BGG,11.07703,0.040743867,-0.033379164418814146,0.1780945765284993,-0.21147374094731344,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237667733971337221,CG4,HMCG:188,BGG,11.0393,0.025393122,0.18878060169439917,0.17365178684899274,0.01512881484540643,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237657591934025821,CG4,HMCG:197,BGG,10.92494,0.034438523,0.2365435592168414,0.16018564776210215,0.07635791145473925,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237657627919319142,CG4,HMCG:206,BGG,11.02117,0.044652618,-0.00036000557862243517,0.17151693986013877,-0.1718769454387612,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237661435920646147,CG4,HMCG:214,BGG,10.9049,0.040021474,0.2672599868533754,0.15782589411308778,0.10943409274028759,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237665025446510622,CG4,HMCG:229,BGG,10.96543,0.037612666,0.1393198083248698,0.16495343345314967,-0.02563362512827988,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237661949186474088,CG4,HMCG:231,BGG,11.16475,0.032070752,0.3003078152646575,0.18842379759095135,0.11188401767370615,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237661873482891334,CG4,HMCG:239,BGG,10.83799,0.035050865,0.06895429106965624,0.14994709587678282,-0.08099280480712658,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237661418747461670,CG4,HMCG:259,BGG,11.19601,0.035352979,0.210659559924703,0.1921047306781863,0.01855482924651672,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237667783918026937,CG4,HMCG:265,BGG,11.04929,0.028536017,0.005382592656735859,0.17482813110815687,-0.16944553845142102,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237655463774191677,CG4,HMCG:271,BGG,11.23055,0.036278649,0.3003078152646575,0.19617189090957132,0.10413592435508617,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237651273515794444,CG4,HMCG:276,BGG,11.14224,0.032089326,0.24319337424724807,0.18577319606204343,0.057420178185204646,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237661418750476311,CG4,HMCG:293,BGG,11.24418,0.043485321,0.210659559924703,0.19777685309699988,0.012882706827703122,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237667912217985078,CG4,HMCG:303,BGG,10.97365,0.040462716,0.2855971362609545,0.16592135635708666,0.11967577990386785,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237648704057573661,CG4,HMCG:309,BGG,11.09869,0.043902061,0.21946008747208545,0.1806450887060267,0.03881499876605876,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237651735776460868,CG4,HMCG:315,BGG,11.11865,0.043599096,0.17548977917257252,0.18299542218079362,-0.007505643008221097,
